timestamp_ms,exec,tamanho,tecnica,corrente_mA,tensao_V,potencia_mW,tempo_ms
900,,,,16.30,4.476,73.00,
1002,,,,15.75,4.495,71.75,
1104,,,,16.53,4.492,70.75,
1207,,,,15.70,4.505,70.75,
1309,,,,15.63,4.491,72.00,
1411,,,,16.23,4.509,73.25,
1514,,,,16.68,4.514,73.75,
1616,,,,16.23,4.509,73.25,
1718,,,,15.53,4.512,73.25,
1821,,,,15.63,4.504,74.50,
1923,,,,16.48,4.520,74.50,
2027,1,40,NORMAL,16.25,4.486,73.00,
2129,1,40,NORMAL,15.58,4.494,74.50,3
2132,1,40,NORMAL,16.63,4.491,73.75,
2234,1,40,NORMAL,15.63,4.510,70.50,
2336,1,40,NORMAL,15.48,4.491,73.25,
2439,1,40,NORMAL,15.70,4.512,70.75,
2542,2,40,NORMAL,15.98,4.492,68.50,
2645,2,40,NORMAL,16.23,4.520,70.75,3
2647,2,40,NORMAL,15.75,4.495,70.50,
2749,2,40,NORMAL,15.68,4.511,74.50,
2852,2,40,NORMAL,16.38,4.514,74.25,
2954,2,40,NORMAL,16.73,4.503,73.75,
3057,3,40,NORMAL,15.50,4.517,69.25,
3160,3,40,NORMAL,16.43,4.517,74.25,4
3162,3,40,NORMAL,16.60,4.503,74.50,
3265,3,40,NORMAL,16.23,4.523,69.75,
3367,3,40,NORMAL,15.70,4.514,70.75,
3469,3,40,NORMAL,15.93,4.524,73.00,
3573,4,40,NORMAL,15.20,4.508,68.50,
3675,4,40,NORMAL,16.55,4.504,72.50,4
3677,4,40,NORMAL,16.10,4.504,75.75,
3780,4,40,NORMAL,16.33,4.523,73.75,
3882,4,40,NORMAL,16.28,4.501,70.75,
3985,4,40,NORMAL,15.63,4.519,70.50,
4088,5,40,NORMAL,16.23,4.497,68.00,
4190,5,40,NORMAL,16.35,4.525,72.50,3
4193,5,40,NORMAL,16.05,4.505,75.00,
4295,5,40,NORMAL,16.23,4.515,70.00,
4397,5,40,NORMAL,15.55,4.526,70.50,
4500,5,40,NORMAL,15.88,4.512,70.50,
4603,6,40,NORMAL,16.20,4.529,68.50,
4706,6,40,NORMAL,15.60,4.523,70.50,4
4708,6,40,NORMAL,16.58,4.510,75.00,
4810,6,40,NORMAL,15.53,4.528,74.50,
4913,6,40,NORMAL,16.48,4.524,73.25,
5015,6,40,NORMAL,15.58,4.525,74.25,
5118,7,40,NORMAL,16.28,4.515,73.25,
5221,7,40,NORMAL,16.48,4.511,70.75,4
5223,7,40,NORMAL,15.75,4.505,72.50,
5325,7,40,NORMAL,16.53,4.530,75.00,
5428,7,40,NORMAL,16.53,4.530,70.75,
5530,7,40,NORMAL,15.50,4.525,70.00,
5633,8,40,NORMAL,15.48,4.505,72.50,
5736,8,40,NORMAL,15.53,4.531,70.50,3
5738,8,40,NORMAL,16.38,4.512,75.00,
5841,8,40,NORMAL,16.23,4.515,70.00,
5943,8,40,NORMAL,16.23,4.526,73.25,
6045,8,40,NORMAL,15.50,4.531,72.50,
6148,9,40,NORMAL,15.73,4.530,72.00,
6251,9,40,NORMAL,15.63,4.523,74.50,4
6253,9,40,NORMAL,15.55,4.509,70.00,
6356,9,40,NORMAL,15.93,4.535,69.25,
6458,9,40,NORMAL,16.03,4.523,70.50,
6560,9,40,NORMAL,16.53,4.534,75.00,
6664,10,40,NORMAL,16.60,4.514,75.00,
6766,10,40,NORMAL,15.90,4.536,71.25,4
6769,10,40,NORMAL,15.83,4.511,70.00,
6871,10,40,NORMAL,15.55,4.534,70.50,
6973,10,40,NORMAL,16.28,4.537,68.00,
7076,10,40,NORMAL,16.23,4.529,73.00,
899,,,,15.98,4.588,70.75,
1002,,,,16.03,4.579,75.00,
1104,,,,15.98,4.586,73.25,
1206,,,,16.05,4.570,74.50,
1309,,,,16.23,4.584,74.50,
1411,,,,15.38,4.585,74.50,
1514,,,,15.83,4.577,75.00,
1616,,,,16.03,4.586,71.75,
1718,,,,15.48,4.579,71.25,
1821,,,,16.45,4.584,75.25,
1923,,,,15.78,4.574,73.25,
2026,1,80,NORMAL,15.78,4.586,70.50,
2129,1,80,NORMAL,15.70,4.585,72.00,31
2131,1,80,NORMAL,15.58,4.571,71.25,
2234,1,80,NORMAL,16.03,4.586,73.00,
2336,1,80,NORMAL,16.38,4.582,75.00,
2439,1,80,NORMAL,16.48,4.585,73.25,
2542,2,80,NORMAL,15.28,4.577,70.00,
2644,2,80,NORMAL,16.18,4.571,74.50,31
2647,2,80,NORMAL,16.35,4.573,70.50,
2749,2,80,NORMAL,15.38,4.588,70.50,
2851,2,80,NORMAL,15.35,4.571,73.00,
2954,2,80,NORMAL,15.65,4.589,71.75,
3070,3,80,NORMAL,16.03,4.573,72.50,
3173,3,80,NORMAL,16.28,4.585,72.00,31
3175,3,80,NORMAL,15.75,4.574,72.50,
3277,3,80,NORMAL,16.48,4.575,74.50,
3380,3,80,NORMAL,15.83,4.588,72.50,
3482,3,80,NORMAL,15.70,4.570,75.25,
3601,4,80,NORMAL,15.23,4.566,74.50,
3704,4,80,NORMAL,16.30,4.581,74.50,31
3706,4,80,NORMAL,16.53,4.574,75.75,
3808,4,80,NORMAL,15.50,4.571,74.50,
3911,4,80,NORMAL,16.20,4.586,74.25,
4013,4,80,NORMAL,16.43,4.582,74.50,
4132,5,80,NORMAL,16.10,4.570,69.25,
4235,5,80,NORMAL,16.45,4.575,75.25,31
4237,5,80,NORMAL,16.20,4.568,74.25,
4340,5,80,NORMAL,16.15,4.586,73.00,
4442,5,80,NORMAL,16.35,4.584,75.00,
4544,5,80,NORMAL,16.28,4.584,73.75,
4663,6,80,NORMAL,15.80,4.573,71.25,
4766,6,80,NORMAL,15.70,4.577,71.75,31
4768,6,80,NORMAL,15.55,4.574,71.25,
4871,6,80,NORMAL,16.45,4.584,73.25,
4973,6,80,NORMAL,16.35,4.581,74.25,
5075,6,80,NORMAL,15.90,4.584,73.75,
5194,7,80,NORMAL,16.48,4.570,75.25,
5297,7,80,NORMAL,16.35,4.571,73.75,31
5300,7,80,NORMAL,16.10,4.571,74.25,
5402,7,80,NORMAL,16.08,4.586,70.50,
5504,7,80,NORMAL,16.23,4.580,73.00,
5607,7,80,NORMAL,15.83,4.588,72.50,
5726,8,80,NORMAL,16.13,4.571,73.75,
5828,8,80,NORMAL,16.33,4.568,74.25,31
5831,8,80,NORMAL,16.25,4.571,73.25,
5933,8,80,NORMAL,16.38,4.584,75.00,
6035,8,80,NORMAL,15.45,4.575,70.50,
6138,8,80,NORMAL,15.38,4.589,70.50,
6257,9,80,NORMAL,15.90,4.570,72.50,
6360,9,80,NORMAL,16.05,4.571,70.75,31
6362,9,80,NORMAL,15.48,4.571,71.25,
6464,9,80,NORMAL,15.60,4.588,71.75,
6567,9,80,NORMAL,15.53,4.586,74.25,
6669,9,80,NORMAL,16.38,4.584,75.00,
6790,10,80,NORMAL,15.83,4.571,69.75,
6893,10,80,NORMAL,16.33,4.588,70.75,31
6895,10,80,NORMAL,15.48,4.573,72.00,
6998,10,80,NORMAL,16.23,4.582,74.50,
7100,10,80,NORMAL,15.98,4.588,72.50,
7202,10,80,NORMAL,15.43,4.581,70.75,
797,,,,15.70,4.580,73.75,
900,,,,16.33,4.576,74.50,
1002,,,,15.48,4.582,74.25,
1105,,,,16.13,4.575,71.75,
1207,,,,15.88,4.585,73.00,
1309,,,,15.88,4.571,71.75,
1412,,,,16.08,4.585,73.75,
1514,,,,16.03,4.584,71.75,
1616,,,,16.33,4.577,75.25,
1719,,,,16.18,4.586,71.25,
1821,,,,16.48,4.573,74.50,
1923,,,,16.45,4.580,75.25,
2037,1,160,NORMAL,19.25,4.539,88.00,
2140,1,160,NORMAL,19.83,4.560,90.50,
2242,1,160,NORMAL,19.88,4.573,71.75,
2345,1,160,NORMAL,16.38,4.582,75.00,247
2347,1,160,NORMAL,16.38,4.566,74.50,
2450,1,160,NORMAL,15.50,4.577,71.25,
2552,1,160,NORMAL,16.20,4.581,74.25,
2654,1,160,NORMAL,15.75,4.568,73.25,
2785,2,160,NORMAL,19.40,4.541,89.25,
2887,2,160,NORMAL,19.78,4.563,90.00,
2989,2,160,NORMAL,19.95,4.570,70.50,
3092,2,160,NORMAL,15.35,4.585,74.25,247
3095,2,160,NORMAL,16.20,4.566,75.00,
3197,2,160,NORMAL,15.70,4.574,73.00,
3299,2,160,NORMAL,16.40,4.581,75.00,
3402,2,160,NORMAL,15.73,4.573,72.00,
3532,3,160,NORMAL,19.78,4.545,87.25,
3635,3,160,NORMAL,19.63,4.559,89.25,
3737,3,160,NORMAL,19.70,4.574,72.00,
3840,3,160,NORMAL,16.03,4.585,70.50,247
3842,3,160,NORMAL,15.40,4.571,74.25,
3945,3,160,NORMAL,16.33,4.577,74.50,
4047,3,160,NORMAL,15.53,4.582,71.25,
4149,3,160,NORMAL,16.33,4.568,74.50,
4280,4,160,NORMAL,19.48,4.541,88.50,
4382,4,160,NORMAL,19.35,4.559,88.00,
4485,4,160,NORMAL,20.08,4.574,72.00,
4588,4,160,NORMAL,15.78,4.580,74.50,247
4590,4,160,NORMAL,16.33,4.568,71.75,
4692,4,160,NORMAL,15.80,4.574,74.25,
4795,4,160,NORMAL,16.03,4.585,73.25,
4897,4,160,NORMAL,16.25,4.571,74.25,
5027,5,160,NORMAL,19.45,4.545,87.75,
5130,5,160,NORMAL,19.93,4.561,91.00,
5232,5,160,NORMAL,19.93,4.570,73.75,
5335,5,160,NORMAL,15.60,4.586,70.50,247
5337,5,160,NORMAL,15.40,4.566,75.25,
5440,5,160,NORMAL,16.38,4.576,74.50,
5542,5,160,NORMAL,16.18,4.584,74.25,
5644,5,160,NORMAL,15.55,4.573,75.00,
5775,6,160,NORMAL,19.23,4.543,89.25,
5877,6,160,NORMAL,19.45,4.561,89.00,
5980,6,160,NORMAL,19.85,4.571,74.50,
6083,6,160,NORMAL,16.20,4.582,74.25,247
6085,6,160,NORMAL,16.25,4.566,75.75,
6187,6,160,NORMAL,16.13,4.577,73.75,
6290,6,160,NORMAL,15.90,4.582,73.00,
6392,6,160,NORMAL,16.03,4.573,73.75,
6522,7,160,NORMAL,19.58,4.544,88.50,
6625,7,160,NORMAL,19.33,4.559,88.00,
6727,7,160,NORMAL,19.68,4.576,70.75,
6830,7,160,NORMAL,15.53,4.585,71.25,247
6832,7,160,NORMAL,15.63,4.569,73.25,
6935,7,160,NORMAL,15.60,4.579,72.00,
7037,7,160,NORMAL,16.23,4.585,74.50,
7140,7,160,NORMAL,15.73,4.573,75.00,
7270,8,160,NORMAL,19.43,4.544,87.75,
7372,8,160,NORMAL,19.63,4.559,89.25,
7475,8,160,NORMAL,19.65,4.570,74.25,
7578,8,160,NORMAL,15.45,4.585,70.50,247
7580,8,160,NORMAL,15.40,4.566,71.75,
7682,8,160,NORMAL,16.18,4.576,75.00,
7785,8,160,NORMAL,15.98,4.585,70.75,
7887,8,160,NORMAL,16.20,4.575,74.50,
8017,9,160,NORMAL,19.60,4.543,89.25,
8120,9,160,NORMAL,19.73,4.563,90.00,
8222,9,160,NORMAL,19.48,4.573,74.25,
8325,9,160,NORMAL,16.20,4.582,72.50,248
8327,9,160,NORMAL,15.90,4.568,73.25,
8430,9,160,NORMAL,16.38,4.577,75.25,
8532,9,160,NORMAL,16.45,4.582,74.25,
8635,9,160,NORMAL,16.38,4.573,74.50,
8767,10,160,NORMAL,19.53,4.545,88.00,
8869,10,160,NORMAL,19.58,4.563,89.25,
9016,10,160,NORMAL,15.68,4.564,71.75,247
9019,10,160,NORMAL,15.75,4.568,75.25,
9121,10,160,NORMAL,16.18,4.582,74.25,
9223,10,160,NORMAL,15.95,4.574,73.25,
9326,10,160,NORMAL,15.83,4.585,72.50,
9428,10,160,NORMAL,16.33,4.574,75.25,
899,,,,15.43,4.585,71.75,
1001,,,,16.33,4.574,75.25,
1104,,,,15.60,4.586,71.75,
1206,,,,15.58,4.574,72.00,
1308,,,,16.35,4.582,75.00,
1411,,,,15.65,4.586,70.50,
1513,,,,16.05,4.577,75.25,
1616,,,,16.18,4.584,73.00,
1718,,,,16.38,4.573,75.75,
1820,,,,15.83,4.585,72.50,
1923,,,,15.68,4.585,70.75,
2026,1,120,NORMAL,19.63,4.559,91.75,
2129,1,120,NORMAL,15.63,4.575,71.75,104
2131,1,120,NORMAL,15.78,4.568,72.00,
2233,1,120,NORMAL,16.00,4.585,70.50,
2336,1,120,NORMAL,15.68,4.584,71.75,
2438,1,120,NORMAL,16.10,4.585,71.75,
2541,1,120,NORMAL,16.08,4.580,73.75,
2644,2,120,NORMAL,19.53,4.565,89.75,
2746,2,120,NORMAL,16.23,4.581,74.50,105
2749,2,120,NORMAL,16.33,4.569,74.50,
2851,2,120,NORMAL,16.30,4.573,75.25,
2953,2,120,NORMAL,15.40,4.585,70.50,
3056,2,120,NORMAL,16.10,4.586,73.00,
3158,2,120,NORMAL,15.58,4.582,71.25,
3261,3,120,NORMAL,19.75,4.546,87.25,
3364,3,120,NORMAL,16.25,4.584,74.50,104
3366,3,120,NORMAL,16.38,4.570,75.00,
3469,3,120,NORMAL,16.08,4.574,74.25,
3571,3,120,NORMAL,15.75,4.586,72.00,
3673,3,120,NORMAL,16.33,4.571,73.25,
3776,3,120,NORMAL,15.78,4.586,72.50,
3879,4,120,NORMAL,19.68,4.548,89.75,
3982,4,120,NORMAL,16.43,4.582,74.50,104
3984,4,120,NORMAL,16.28,4.571,72.50,
4086,4,120,NORMAL,15.75,4.580,72.50,
4189,4,120,NORMAL,15.75,4.586,72.00,
4291,4,120,NORMAL,15.55,4.576,71.25,
4394,4,120,NORMAL,15.50,4.589,71.25,
4496,5,120,NORMAL,19.40,4.546,89.75,
4599,5,120,NORMAL,16.18,4.585,74.50,105
4602,5,120,NORMAL,16.28,4.568,74.50,
4704,5,120,NORMAL,16.00,4.584,73.25,
4806,5,120,NORMAL,16.18,4.585,73.00,
4909,5,120,NORMAL,16.50,4.577,74.50,
5044,6,120,NORMAL,19.38,4.545,88.00,
5150,6,120,NORMAL,16.25,4.566,73.25,105
5153,6,120,NORMAL,16.00,4.571,70.75,
5255,6,120,NORMAL,16.13,4.575,72.50,
5357,6,120,NORMAL,15.75,4.586,72.00,
5460,6,120,NORMAL,15.75,4.571,72.00,
5562,6,120,NORMAL,16.03,4.588,73.75,
5665,7,120,NORMAL,19.35,4.548,88.00,
5768,7,120,NORMAL,16.28,4.585,73.75,104
5770,7,120,NORMAL,16.13,4.573,70.75,
5873,7,120,NORMAL,15.60,4.581,72.00,
5975,7,120,NORMAL,16.25,4.585,74.50,
6078,7,120,NORMAL,15.93,4.582,73.00,
6180,7,120,NORMAL,15.55,4.588,70.75,
6283,8,120,NORMAL,19.68,4.552,89.75,
6386,8,120,NORMAL,15.48,4.569,70.50,105
6388,8,120,NORMAL,15.43,4.573,72.00,
6491,8,120,NORMAL,16.45,4.584,75.25,
6593,8,120,NORMAL,15.53,4.573,72.50,
6695,8,120,NORMAL,16.43,4.585,75.25,
6798,8,120,NORMAL,15.68,4.584,74.25,
6901,9,120,NORMAL,19.90,4.559,90.50,
7004,9,120,NORMAL,16.43,4.566,74.50,105
7006,9,120,NORMAL,16.30,4.568,73.00,
7108,9,120,NORMAL,16.28,4.584,74.50,
7211,9,120,NORMAL,16.23,4.574,75.25,
7313,9,120,NORMAL,16.30,4.585,74.50,
7415,9,120,NORMAL,15.85,4.588,72.00,
7518,10,120,NORMAL,19.68,4.563,89.75,
7621,10,120,NORMAL,16.58,4.571,75.75,104
7624,10,120,NORMAL,16.38,4.566,75.00,
7726,10,120,NORMAL,15.90,4.588,71.25,
7828,10,120,NORMAL,15.78,4.577,73.25,
7931,10,120,NORMAL,16.23,4.585,74.50,
800,,,,16.35,4.604,75.25,
902,,,,15.20,4.601,74.50,
1005,,,,15.73,4.601,72.50,
1107,,,,15.50,4.602,74.25,
1209,,,,16.48,4.593,70.50,
1312,,,,16.18,4.601,74.50,
1414,,,,15.73,4.588,72.50,
1516,,,,16.25,4.604,75.00,
1619,,,,15.38,4.600,74.25,
1721,,,,15.53,4.600,75.25,
1824,,,,16.03,4.605,72.50,
1926,,,,16.25,4.594,70.50,
2060,1,200,NORMAL,19.75,4.563,89.00,
2163,1,200,NORMAL,19.50,4.582,89.25,
2265,1,200,NORMAL,19.48,4.577,91.75,
2367,1,200,NORMAL,20.23,4.577,92.50,
2470,1,200,NORMAL,16.23,4.585,69.75,375
2473,1,200,NORMAL,15.18,4.585,75.00,
2575,1,200,NORMAL,15.23,4.597,70.00,
2677,1,200,NORMAL,16.30,4.604,70.00,
2780,1,200,NORMAL,15.88,4.595,73.00,
2882,1,200,NORMAL,15.90,4.600,70.00,
2985,2,200,NORMAL,19.98,4.574,91.25,
3087,2,200,NORMAL,20.13,4.581,92.25,
3190,2,200,NORMAL,19.83,4.580,91.25,
3314,2,200,NORMAL,16.03,4.588,73.25,376
3317,2,200,NORMAL,15.95,4.588,70.75,
3419,2,200,NORMAL,16.15,4.591,70.50,
3521,2,200,NORMAL,15.75,4.605,72.50,
3624,2,200,NORMAL,15.65,4.589,73.00,
3726,2,200,NORMAL,16.35,4.602,75.25,
3829,3,200,NORMAL,19.73,4.566,90.50,
3931,3,200,NORMAL,20.00,4.581,91.75,
4034,3,200,NORMAL,19.65,4.569,91.25,
4136,3,200,NORMAL,19.85,4.582,91.00,
4239,3,200,NORMAL,15.58,4.585,70.00,376
4241,3,200,NORMAL,15.30,4.588,74.50,
4344,3,200,NORMAL,15.50,4.601,71.25,
4446,3,200,NORMAL,15.95,4.591,72.00,
4548,3,200,NORMAL,15.58,4.600,71.75,
4689,4,200,NORMAL,19.43,4.565,89.75,
4792,4,200,NORMAL,19.53,4.581,89.75,
4894,4,200,NORMAL,19.63,4.571,89.75,
4996,4,200,NORMAL,20.13,4.584,92.25,
5099,4,200,NORMAL,15.48,4.586,72.00,376
5102,4,200,NORMAL,15.70,4.585,74.50,
5204,4,200,NORMAL,15.55,4.601,73.75,
5306,4,200,NORMAL,15.58,4.594,73.25,
5408,4,200,NORMAL,15.23,4.593,75.00,
5510,4,200,NORMAL,16.33,4.601,75.00,
5613,5,200,NORMAL,20.08,4.566,91.00,
5715,5,200,NORMAL,19.63,4.580,89.75,
5818,5,200,NORMAL,19.80,4.571,92.25,
5943,5,200,NORMAL,15.20,4.586,68.75,376
5946,5,200,NORMAL,15.03,4.588,74.50,
6048,5,200,NORMAL,15.50,4.601,71.25,
6150,5,200,NORMAL,16.18,4.604,70.75,
6253,5,200,NORMAL,15.40,4.597,70.75,
6355,5,200,NORMAL,16.30,4.601,69.75,
6458,6,200,NORMAL,19.80,4.573,90.50,
