tecnica,exec,tamanho,ED_total,MAE,WCE,MRED,MSE
MODULAR,1,120,2.58e+10,1794298.58,3622092.00,0.666667,4.87e+12
TRUNCATION,1,120,1.96e+09,136321.22,3520464.00,0.049375,3.79e+11
MODULAR,2,120,2.58e+10,1794298.58,3622092.00,0.666667,4.87e+12
TRUNCATION,2,120,1.96e+09,136321.22,3520464.00,0.049375,3.79e+11
MODULAR,3,120,2.58e+10,1794298.58,3622092.00,0.666667,4.87e+12
TRUNCATION,3,120,1.96e+09,136321.22,3520464.00,0.049375,3.79e+11
MODULAR,4,120,2.58e+10,1794298.58,3622092.00,0.666667,4.87e+12
TRUNCATION,4,120,1.96e+09,136321.22,3520464.00,0.049375,3.79e+11
MODULAR,5,120,2.58e+10,1794298.58,3622092.00,0.666667,4.87e+12
TRUNCATION,5,120,1.96e+09,136321.22,3520464.00,0.049375,3.79e+11
MODULAR,6,120,2.58e+10,1794298.58,3622092.00,0.666667,4.87e+12
TRUNCATION,6,120,1.96e+09,136321.22,3520464.00,0.049375,3.79e+11
MODULAR,7,120,2.58e+10,1794298.58,3622092.00,0.666667,4.87e+12
TRUNCATION,7,120,1.96e+09,136321.22,3520464.00,0.049375,3.79e+11
MODULAR,8,120,2.58e+10,1794298.58,3622092.00,0.666667,4.87e+12
TRUNCATION,8,120,1.96e+09,136321.22,3520464.00,0.049375,3.79e+11
MODULAR,9,120,2.58e+10,1794298.58,3622092.00,0.666667,4.87e+12
TRUNCATION,9,120,1.96e+09,136321.22,3520464.00,0.049375,3.79e+11
MODULAR,10,120,2.58e+10,1794298.58,3622092.00,0.666667,4.87e+12
TRUNCATION,10,120,1.96e+09,136321.22,3520464.00,0.049375,3.79e+11
FIM_COLETA
